Gid	stats
ProtA34	1
ProtA43	1
ProtA40	1
ProtA67	1
ProtA13	1
ProtA61	1
ProtA24	1
ProtA7	1
ProtA77	1
ProtA51	1
ProtA31	1
ProtA16	1
ProtA66	1
ProtA33	1
ProtA8	1
ProtA69	1
ProtA50	1
ProtA38	1
ProtA41	1
ProtA64	0
ProtA15	1
ProtA42	1
ProtA70	1
ProtA57	1
ProtA18	1
ProtA10	1
ProtA29	1
ProtA53	1
ProtA58	1
ProtA19	1
ProtA49	1
ProtA46	1
ProtA55	1
ProtA74	1
ProtA68	1
ProtA2	1
ProtA3	1
ProtA72	1
ProtA76	1
ProtA71	1
ProtA62	1
ProtA47	1
ProtA63	1
ProtA48	0
ProtA14	1
ProtA75	1
ProtA56	1
ProtA52	1
ProtA20	1
ProtA5	1
ProtA11	1
ProtA32	1
ProtA39	1
ProtA36	1
ProtA12	1
ProtA54	1
ProtA44	1
ProtA30	1
ProtA35	1
ProtA27	1
ProtA21	1
ProtA26	1
ProtA37	1
ProtA45	0
ProtA9	1
ProtA60	1
ProtM1	1
ProtM2	1
ProtM3	1
ProtG30	1
ProtG19	1
ProtG39	1
ProtG15	1
ProtG64	1
ProtG87	1
ProtG3	0
ProtG4	1
ProtG49	0
ProtG29	1
ProtG76	0
ProtG84	1
ProtG11	1
ProtG83	1
ProtG52	1
ProtG89	1
ProtG13	1
ProtG90	1
ProtG54	1
ProtG35	1
ProtG81	1
ProtG79	1
ProtG34	1
ProtG31	1
ProtG44	1
ProtG22	1
ProtG16	1
ProtG17	1
ProtG47	1
ProtG62	1
ProtG77	1
ProtG61	1
ProtG60	1
ProtG78	1
ProtG72	1
ProtG36	1
ProtG20	1
ProtG65	1
ProtG69	1
ProtG24	1
ProtG18	1
ProtG21	1
ProtG12	1
ProtG5	1
ProtG10	1
ProtG14	1
ProtG38	1
ProtG46	1
ProtG28	1
ProtG45	1
ProtG75	1
ProtG66	1
ProtG68	1
ProtG32	1
ProtG26	1
ProtG43	1
ProtG55	1
ProtG37	1
ProtG51	1
ProtG41	0
ProtG40	1
ProtG8	1
ProtG53	1
ProtG70	1
ProtG27	1
ProtG33	1
ProtG7	1
ProtG48	1
ProtG6	1
ProtG25	0
ProtG9	1
ProtG1	1
ProtG67	1
ProtG63	1
ProtG50	1
ProtG42	1
ProtG74	1
ProtG85	1
ProtG91	1
ProtG86	1
ProtG82	1
ProtG56	1
ProtG88	1
ProtG58	1
ProtG59	1
ProtG73	1
ProtG80	1
ProtG57	1
ProtG71	1
ProtZ3	1
ProtZ1	1
ProtZ4	1
ProtZ2	1
ProtZ5	1
J088X1	1
DesuC2	1
DesuC1	1
Desua47	1
Desua29	1
Desua41	0
Desua37	0
Desua53	0
Desua51	0
DesuB4	1
DesuB3	1
DesuB1	1
DesuB2	1
BdellC1	1
BdellC2	1
Desua5	0
Myxo10	1
Myxo15	1
Myxo18	1
Myxo17	1
Myxo19	1
Myxo14	1
Myxo6	1
Myxo5	1
Myxo2	0
Myxo1	1
Myxo9	1
Myxo3	1
Myxo11	1
Myxo13	1
Myxo8	1
Myxo7	1
Bdell13	1
Bdell12	1
Bdell3	1
MyxA1	1
MyxA2	1
MyxA3	1
MyxA4	1
Bdell6	1
Bdell2	1
Bdell10	0
Bdell17	1
Bdell16	1
Bdell15	1
Bdell9	1
Bdell7	0
Bdell5	1
Bdell14	1
Bdell4	0
Bdell11	1
UBA1X6	1
UBA1X1	1
UBA1X2	1
UBA1X5	1
UBA1X4	0
UBA1X3	1
UBA2X1	0
SZUA2	1
Desua28	0
Desua35	0
DesuD2	1
DesuD1	1
Desua22	0
Desua23	0
Desua14	0
Desua10	0
Desua13	0
Desua26	0
Desua30	0
Desua4	0
Desua49	0
Desua21	0
Desua44	0
Desua36	1
Desua38	1
Desua39	0
Desua32	1
Desua48	0
Desua33	0
Desua46	0
Desua25	0
Desua42	1
Desua11	0
Desua27	0
Desua12	0
Desua40	1
Desua31	0
Desua1	0
Desua34	0
Desua3	0
Desua43	0
Desua52	0
Desua50	0
Desua54	1
Desua16	1
