tax	numbers	balanced accuracy	AUC	AP	round
Actinobacteria	1540	0.9178249473376626	0.974325202471968	0.9961846598903819	0
Firmicutes	1862	0.8898742060032383	0.9709968032548677	0.9748424026967396	0
Bacteroidetes	872	0.9756743042273313	0.989312619540185	0.9941974990606484	0
Proteobacteria	3205	0.8496723663701138	0.9190099949289232	0.9858105146435121	0
Alphaproteobacteria	994	0.6548392424576085	0.8327598546575644	0.9907199176356121	0
Betaproteobacteria	509	0.7149523987306328	0.7988613029680792	0.9831156872161451	0
Gammaproteobacteria	1393	0.7469947407963937	0.841230217396573	0.9857750522780105	0
Actinobacteria	1530	0.9436815693430657	0.9815191605839416	0.9968329243321583	1
Firmicutes	1864	0.9116243513987355	0.9687018529778102	0.9716426511133864	1
Bacteroidetes	872	0.9726469182990922	0.9880434782608696	0.9949833875218477	1
Proteobacteria	3198	0.8401465084049062	0.9107202622820993	0.9855682934334908	1
Alphaproteobacteria	983	0.6047913950456323	0.7777460886571057	0.9841013213820926	1
Betaproteobacteria	511	0.620182394924663	0.8239492466296591	0.9845162284479774	1
Gammaproteobacteria	1409	0.7666980539861896	0.8499560577526679	0.9895363375370971	1
Actinobacteria	1547	0.9008548121149006	0.9636466198038706	0.9940872033312244	2
Firmicutes	1869	0.9222942846992003	0.9620656350216579	0.9632927839497671	2
Bacteroidetes	863	0.9648812428827069	0.9889742964047502	0.9940389657436572	2
Proteobacteria	3194	0.8254573861196504	0.8944985429291771	0.9810569249852602	2
Alphaproteobacteria	986	0.5457716701902748	0.7389270613107822	0.9817126107854144	2
Betaproteobacteria	512	0.6830484330484331	0.7789252928141817	0.9776911360356961	2
Gammaproteobacteria	1391	0.7007622028808469	0.8055301063775641	0.9835063253831053	2
Actinobacteria	1545	0.8811364730975644	0.9701475849731663	0.9954243717925929	3
Firmicutes	1879	0.8988805133142039	0.9696855342972773	0.9712374440013218	3
Bacteroidetes	850	0.973482314661117	0.9912584958171262	0.9956651350794844	3
Proteobacteria	3209	0.834530204767074	0.9068069743275717	0.9827785813522111	3
Alphaproteobacteria	981	0.6159854649357103	0.7376855705323313	0.9828120256727555	3
Betaproteobacteria	518	0.6780568756128837	0.7798521535792411	0.9757205495890753	3
Gammaproteobacteria	1402	0.6827247888723299	0.8513164431197219	0.9892196305082783	3
Actinobacteria	1532	0.8766554802482946	0.9686560944045974	0.9952701982974967	4
Firmicutes	1870	0.904103697157166	0.9696025924289291	0.9728688516494088	4
Bacteroidetes	856	0.9599250217820516	0.9838612982902089	0.9930053173695191	4
Proteobacteria	3219	0.8167901602836329	0.9125117554234343	0.9844560247375259	4
Alphaproteobacteria	987	0.568936831013255	0.7479618434917642	0.9843410033585873	4
Betaproteobacteria	518	0.6800935354906841	0.8190012823414046	0.9798109659850054	4
Gammaproteobacteria	1408	0.6243818965008556	0.866542750929368	0.9889133986016898	4
Actinobacteria	1531	0.9232172653427948	0.9777192548178301	0.9969723714450184	5
Firmicutes	1864	0.9121842179960261	0.9685625413946447	0.9707314279226075	5
Bacteroidetes	871	0.9726447175206739	0.9913014916144989	0.9952508295998836	5
Proteobacteria	3205	0.8573000137877205	0.9125765043220998	0.9839340317790737	5
Alphaproteobacteria	984	0.7160689170182841	0.8081780356305672	0.9872342185726335	5
Betaproteobacteria	521	0.7004273504273504	0.7826728826728827	0.9790876823545138	5
Gammaproteobacteria	1399	0.7237964547096284	0.8288423153692615	0.9849647430228194	5
Actinobacteria	1535	0.9091339798286079	0.9816566980669853	0.9969764270134167	6
Firmicutes	1866	0.9058373796745889	0.9712490889816471	0.9721405590750609	6
Bacteroidetes	879	0.9639790695897945	0.9909097853487129	0.9958250337901086	6
Proteobacteria	3186	0.7827048480502494	0.9111910965196306	0.9837944516035915	6
Alphaproteobacteria	979	0.5425359360143185	0.8060154371049835	0.9854410605837904	6
Betaproteobacteria	512	0.5514318442153494	0.7793814432989691	0.969784882346596	6
Gammaproteobacteria	1395	0.5933612183612184	0.8481755565088899	0.9896276972824621	6
Actinobacteria	1530	0.8870393597851818	0.9790238667279088	0.997223159978654	7
Firmicutes	1879	0.903182561944834	0.9704330294530154	0.9728211312742209	7
Bacteroidetes	858	0.9686063843000869	0.9916237113402062	0.9971472342658166	7
Proteobacteria	3210	0.8401387462924936	0.9038127899460033	0.984989749040691	7
Alphaproteobacteria	999	0.6039262820512821	0.7770165598290599	0.9842288442630646	7
Betaproteobacteria	521	0.6487499999999999	0.7869354838709677	0.9838583603655928	7
Gammaproteobacteria	1392	0.7675931401537552	0.8196464945134372	0.9875444167094987	7
Actinobacteria	1532	0.937518355359765	0.977133540640926	0.9962628960266678	8
Firmicutes	1866	0.9157316900410823	0.9653934693299334	0.9651091740123912	8
Bacteroidetes	862	0.9631150211795374	0.9895975887911371	0.994574233867493	8
Proteobacteria	3203	0.8441937549886963	0.9067681373462764	0.9843604026017991	8
Alphaproteobacteria	980	0.5473404255319149	0.804933510638298	0.987683563826977	8
Betaproteobacteria	512	0.7087063655030801	0.7680903490759754	0.9780654475267533	8
Gammaproteobacteria	1411	0.7801692280245687	0.84140607080052	0.9882937405628642	8
Actinobacteria	1530	0.9263549800374519	0.9778755785605766	0.9963842148632722	9
Firmicutes	1857	0.8951655588086632	0.9695496008850147	0.9708692045356904	9
Bacteroidetes	861	0.9770767773424958	0.9930038212060883	0.9965304226161917	9
Proteobacteria	3220	0.8483040002027343	0.9161295933447833	0.985898253842133	9
Alphaproteobacteria	979	0.6115366959316004	0.8276668388133356	0.9898879787987853	9
Betaproteobacteria	517	0.6965608465608466	0.7698412698412698	0.9764118617629939	9
Gammaproteobacteria	1417	0.7613669859985261	0.8645725865880618	0.990508992121795	9
Actinobacteria	1534	0.9084396569755281	0.977545666875828	0.9962612182926609	10
Firmicutes	1858	0.9118964644208143	0.9693646680368153	0.9702179968056253	10
Bacteroidetes	866	0.9582776488241777	0.9899142653943245	0.9943673311796444	10
Proteobacteria	3221	0.8503761394089338	0.9146694369484185	0.9842532779258231	10
Alphaproteobacteria	976	0.6563048671674869	0.8127824309932936	0.9893444329199648	10
Betaproteobacteria	521	0.6387910798122066	0.7647551978537894	0.977869666588326	10
Gammaproteobacteria	1425	0.7430948884693378	0.8556394657716243	0.9867541465739293	10
Actinobacteria	1534	0.9267652020602042	0.9722494440044211	0.9959767070431389	11
Firmicutes	1877	0.9148505647506151	0.96654947625438	0.9658860474039592	11
Bacteroidetes	860	0.9651143790849673	0.9925081699346405	0.9960470097448533	11
Proteobacteria	3207	0.8532563385807465	0.9226421086800665	0.9868029742075143	11
Alphaproteobacteria	996	0.6423519009725907	0.8286713286713286	0.9903982581294888	11
Betaproteobacteria	510	0.7091777519864297	0.7822962235514686	0.9799853823290021	11
Gammaproteobacteria	1392	0.7378857426220962	0.8692067084567752	0.9907350339977398	11
Actinobacteria	1532	0.9143681020028376	0.9689878024063531	0.9947599884315987	12
Firmicutes	1879	0.8949231241169033	0.9688261089834165	0.9695717099710801	12
Bacteroidetes	877	0.9652124668020622	0.992391813779097	0.9968694047495112	12
Proteobacteria	3189	0.8320173359761003	0.9142447288291394	0.986481023742655	12
Alphaproteobacteria	970	0.5571236559139785	0.8051747311827957	0.9872136989098819	12
Betaproteobacteria	514	0.6688213937837598	0.8063844859647569	0.9822820666105896	12
Gammaproteobacteria	1409	0.7302865204066742	0.8551649073308363	0.9898205638048879	12
Actinobacteria	1518	0.8806349206349207	0.9682782186948853	0.9947639668355204	13
Firmicutes	1889	0.916688983285622	0.9668367346938775	0.9687176811394739	13
Bacteroidetes	852	0.9609408862067816	0.9900476777914847	0.9960147760556379	13
Proteobacteria	3207	0.8077492823101834	0.916955392454947	0.9849632148759326	13
Alphaproteobacteria	975	0.6004605965286749	0.8272341740156154	0.9890089930981903	13
Betaproteobacteria	518	0.5949290060851927	0.791156186612576	0.978990429846754	13
Gammaproteobacteria	1420	0.6528186274509804	0.8408884803921569	0.9875562232297959	13
Actinobacteria	1510	0.8607734509466438	0.980990927997705	0.9973896647775271	14
Firmicutes	1839	0.9102575189893153	0.9650476011829648	0.9624126334336349	14
Bacteroidetes	871	0.9730615868664527	0.9907596336562724	0.9958130371803006	14
Proteobacteria	3237	0.8185988693876343	0.8989546502865234	0.9816781277046804	14
Alphaproteobacteria	991	0.6279063345667422	0.7267631302811067	0.9818510084111436	14
Betaproteobacteria	520	0.6265182186234818	0.732014948614139	0.9727549417960879	14
Gammaproteobacteria	1422	0.6737150841353392	0.8373905397429566	0.9867851234133286	14
Actinobacteria	1531	0.940981508451388	0.97992850522971	0.9971394888770984	15
Firmicutes	1875	0.8584239559078699	0.9689103160234209	0.971960938416124	15
Bacteroidetes	873	0.9716074593511597	0.9924674423980889	0.9963692680714975	15
Proteobacteria	3187	0.8385722155800923	0.9188984222988021	0.9856086944755709	15
Alphaproteobacteria	1003	0.6882099490795143	0.8001231044709305	0.9867377644576908	15
Betaproteobacteria	510	0.5920216147488875	0.7917196439923714	0.9788149841287406	15
Gammaproteobacteria	1364	0.7394931475590276	0.8663606222902321	0.9897368099447497	15
Actinobacteria	1544	0.9156976744186047	0.9740859461517166	0.995728593411715	16
Firmicutes	1869	0.9074051367181973	0.9673690825402514	0.971644331741448	16
