trait	alpha	aic	logLik	GBDT40	Dstats
K01160	149.907508538559	6829.82461563008	-3412.91230781504	No	0.0
K07474	109.231298461236	6843.12551791246	-3419.56275895623	No	0.0
K06909	99.8230216405826	8064.4159305946	-4030.2079652973	No	0.0
K01448	3.05007438182149	1909.66148304666	-952.830741523332	No	0.991
K03070	9.79448317288895	1055.38664107597	-525.693320537987	No	0.0
K02836	0.623928820173113	1289.74158504982	-642.87079252491	No	0.068
K02835	2.86322114850835	1345.94004616147	-670.970023080734	No	0.001
K01104	5.13484592884214	4884.11557896746	-2440.05778948373	No	0.266
K07566	0.597121632684404	1169.74263371351	-582.871316856755	No	0.846
K03789	1.1788039214538	1872.7962550118	-934.398127505899	No	0.999
K01409	3.05001436899783	984.893091377058	-490.446545688529	No	0.0
K07335	4.36397397346914	4282.94905332921	-2139.4745266646	No	0.986
K03312	11.0324297779949	5083.22239684629	-2539.61119842315	No	0.063
K06131	4.80226834369461	4348.83842090965	-2172.41921045483	No	0.942
K05962	6.15645439690653	4142.33002421941	-2069.16501210971	No	0.334
K00826	4.28514715194994	2764.55440880579	-1380.2772044029	No	0.306
K00705	6.19357505950104	5302.35703653958	-2649.17851826979	No	0.78
K05970	10.2889736828129	3144.37947362214	-1570.18973681107	No	0.552
K03615	3.98105365370528	3390.69307820144	-1693.34653910072	No	0.987
K03614	3.0530862173637	2441.50312184315	-1218.75156092158	No	0.999
K03612	3.16042314966266	2199.14012701667	-1097.57006350834	No	0.999
K03616	1.87099940623044	1971.19559684199	-983.597798420994	No	1.0
K01163	3.23850441578882	1348.82919223896	-672.414596119478	No	0.989
K03455	6.99226145808627	5336.93380463038	-2666.46690231519	No	0.094
K09157	3.96167672043356	2764.76568174013	-1380.38284087006	No	0.971
K07166	3.89947314823581	2212.93456754748	-1104.46728377374	No	0.989
K05770	12.5980974306286	6086.2061708313	-3041.10308541565	No	0.005
K01491	3.40588680284786	3667.80028592346	-1831.90014296173	No	0.742
K00651	3.88495238128962	3294.28641971563	-1645.14320985781	No	0.996
K11189	4.53593357200478	4136.94704478888	-2066.47352239444	No	0.966
K03703	2.69980150164742	1245.35779710209	-620.678898551046	No	0.0
K06317	1.99725608798436	647.279397404039	-321.63969870202	No	1.0
K05540	2.90060671132218	2817.37912975702	-1406.68956487851	No	0.641
K00931	4.64747289161835	3927.38084190584	-1961.69042095292	No	0.605
K00625	6.6447280204516	4810.00479132283	-2403.00239566142	No	0.789
K00925	10.329554565697	5274.02620145675	-2635.01310072838	No	0.018
K00013	4.28027817809545	3672.16941233889	-1834.08470616944	No	0.333
K01678	3.11789985093912	1875.95624351679	-935.978121758394	No	0.95
K02238	6.29907654443511	2208.57337725277	-1102.28668862638	No	0.0
K01989	6.52910067231025	3962.79125021556	-1979.39562510778	No	0.858
K23242	4.96748503135014	4267.1890442725	-2131.59452213625	No	0.837
K00756	3.965408261256	3220.2949655839	-1608.14748279195	No	0.99
K00974	4.46044323397681	4274.00303530678	-2135.00151765339	No	0.991
K00853	16.285060829245	4867.4143854034	-2431.7071927017	No	0.001
K03077	12.51050468471	6298.77333326191	-3147.38666663095	No	0.0
K00943	2.45916869044041	2190.74136792546	-1093.37068396273	No	0.988
K00789	3.63530866158302	844.216646022396	-420.108323011198	No	0.0
K11754	1.47374383703733	2217.14661860919	-1106.5733093046	No	0.381
K02500	4.30287886012108	3210.19425788083	-1603.09712894041	No	0.583
K02501	4.43179560282963	3725.54951214815	-1860.77475607407	No	0.391
K00604	2.04741770047126	2186.64526923929	-1091.32263461964	No	0.005
K06973	2.20210850301	2119.05104102098	-1057.52552051049	No	1.0
K03500	1.7004907494573	2307.26441112417	-1151.63220556209	No	0.977
K06941	1.81914115089173	1325.851938314	-660.925969157002	No	0.976
K20074	5.34623103167804	4744.22298600336	-2370.11149300168	No	0.931
K08884	3.97977233769577	3928.11733407172	-1962.05866703586	No	0.998
K12132	3.88265891221103	3923.5716445053	-1959.78582225265	No	0.996
K06949	4.75102278819131	2531.61609035109	-1263.80804517554	No	0.968
K01783	1.17294320218602	1445.30936915734	-720.654684578672	No	0.527
K00949	1.54308802910797	2012.36628333414	-1004.18314166707	No	1.0
K01866	8.39884956408383	1272.1335517666	-634.066775883301	No	0.0
K01876	2.02447021112754	1311.75547149856	-653.87773574928	No	0.459
K01892	2.14045318203148	1660.80110083288	-828.400550416442	No	0.001
K03978	0.907442797415084	1196.91344423393	-596.456722116963	No	1.0
K01338	1.44404394487162	2279.94890044585	-1137.97445022292	No	1.0
K00656	5.98903285303009	4410.91658053025	-2203.45829026513	No	0.864
K04069	5.9213856952927	5583.36683305084	-2789.68341652542	Yes	0.717
K03496	6.77409853479165	1925.65345822655	-960.826729113274	No	0.847
K03497	7.34453933377242	1970.35187237499	-983.175936187493	No	0.546
K03205	42.0262431979937	11197.1654318416	-5596.58271592082	No	0.0
K08600	6.52433010890982	1923.75277987515	-959.876389937574	No	0.842
K07497	72.2461911702654	8464.15853732206	-4230.07926866103	No	0.0
K18220	19.7624108785435	3606.31553887654	-1801.15776943827	No	0.0
K07171	12.7911220140936	8677.95634262047	-4336.97817131024	No	0.0
K14059	29.3296516030403	10833.2310451728	-5414.61552258639	No	0.0
K01945	2.88758448599601	2135.74306658412	-1065.87153329206	No	0.122
K02963	2.91809874868713	903.464121557278	-449.732060778639	No	0.078
K03111	8.45468506771136	959.666378481341	-477.833189240671	No	0.0
K00945	0.564343865736486	996.691582910987	-496.345791455493	No	0.753
K06187	1.05586111869746	1049.45503972714	-522.727519863571	No	0.157
K03581	3.83930151637615	4133.73806332199	-2064.86903166099	No	0.993
K06158	1.7286127107584	2474.81564373277	-1235.40782186639	No	1.0
K03803	2.8713148763848	1743.53686576749	-869.768432883744	No	1.0
K03631	0.82579395430018	1241.58945861441	-618.794729307206	No	0.643
K00858	0.955573569015208	938.503502355088	-467.251751177544	No	0.349
K06442	0.99480929601851	1523.21632201743	-759.608161008713	No	1.0
K01662	2.88078983461612	2464.79225113577	-1230.39612556789	No	0.944
K01496	3.91110059572907	3780.67742197716	-1888.33871098858	No	0.999
K11755	3.08761968927034	2436.13355129869	-1216.06677564935	No	0.999
K01814	4.13864336930048	3179.84058873104	-1587.92029436552	No	0.599
K00765	4.1620281084806	3022.94638014483	-1509.47319007241	No	0.691
K02502	2.99793459992956	2694.38072931998	-1345.19036465999	No	1.0
K01533	5.46703236458116	3452.44665071772	-1724.22332535886	No	0.001
K17686	7.16130492138763	4674.07109405072	-2335.03554702536	No	0.0
