	bayesian:non-Anaerobe:prob	bayesian:non-Anaerobe:label	Davin:non-Anaerobe:prob	Davin:non-Anaerobe:label	microtraits:non-Anaerobe:prob	microtraits:non-Anaerobe:label	Traitar:non-Anaerobe:prob	Traitar:non-Anaerobe:label	bacdivAI:non-Anaerobe:prob	bacdivAI:non-Anaerobe:label	top40:non-Anaerobe:prob	top40:non-Anaerobe:label
AABM5X1	0.999976000442329	1	0.0003077430883422	0	NA	1	NA	1	30.099999999999994	0	0.0768473681452984	0
AABM5X2	9.74040415556942e-10	0	7.69352627685e-05	0	NA	0	NA	0	20.709999999999997	0	0.0144702298372891	0
AABM5X3	7.266719106710284e-13	0	5.13092491019e-05	0	NA	0	NA	0	12.420000000000002	0	0.0023367652605597	0
Abys1	1.1351097086664283e-09	0	4.304692083678674e-06	0	NA	0	NA	0	15.340000000000003	0	0.0737560892879672	0
Acid1	0.9999990366185866	1	0.9973878264427184	1	NA	1	NA	0	79.81	1	0.4885774240531373	0
Acid10	0.9999999998117346	1	0.9933016300201416	1	NA	0	NA	1	67.22	1	0.5570676709734821	1
Acid11	7.969465972267785e-09	0	1.94944223039e-05	0	NA	0	NA	1	18.349999999999994	0	0.0068292763264694	0
Acid12	0.9999999979725132	1	0.0195147916674613	0	NA	1	NA	1	59.26	1	0.1210984297753439	0
Acid13	0.9658540959996226	1	0.0464318580925464	0	NA	1	NA	1	50.4	1	0.2819189233115756	0
Acid14	0.9999999999997722	1	0.9882701635360718	1	NA	0	NA	1	67.61	1	0.8985636278614058	1
Acid16	0.9999966261284032	1	0.1308447122573852	0	NA	0	NA	1	38.76	0	0.2375035835665909	0
Acid17	0.9999999262238428	1	0.5835867524147034	1	NA	1	NA	1	64.0	1	0.121834434655612	0
Acid18	1.796550243765479e-13	0	2.30995683523e-05	0	NA	0	NA	1	9.549999999999995	0	0.0111902881004753	0
Acid2	0.9999991717980486	1	0.9710559844970704	1	NA	0	NA	0	54.88	1	0.2143580634514272	0
Acid20	0.997742935518438	1	0.9993308782577516	1	NA	1	NA	1	84.67	1	0.8658137568901683	1
Acid21	0.999999955959413	1	0.9985488057136536	1	NA	1	NA	1	70.25	1	0.2609331773313649	0
Acid22	0.9999330635693198	1	0.0297315809875726	0	NA	1	NA	1	49.88	1	0.1957157162801218	0
Acid23	0.9999999999997156	1	0.9941014647483826	1	NA	0	NA	0	75.45	1	0.7425166607884702	1
Acid24	0.9999999327716113	1	0.9932965636253356	1	NA	1	NA	1	60.7	1	0.6470597901929354	1
Acid25	0.0028075181063607	0	0.0008382720989175	0	NA	1	NA	1	37.87	0	0.0681935020288646	0
Acid26	0.9997219153944836	1	0.0017362489597871	0	NA	1	NA	0	50.44	0	0.0607558343042041	0
Acid27	0.99999999342475	1	0.9983186721801758	1	NA	1	NA	1	69.13	1	0.9906139080342335	1
Acid28	0.971848437087083	1	0.8873569965362549	1	NA	0	NA	1	53.75	1	0.1042273446483046	0
Acid29	1.191170221100439e-23	0	2.1852144982403843e-06	0	NA	0	NA	1	2.230000000000004	0	0.0098997095565671	0
Acid3	0.9975993017062034	1	0.9982598423957824	1	NA	1	NA	1	85.49	1	0.8096455977860615	1
Acid30	0.9999999776628132	1	0.9893168807029724	1	NA	1	NA	1	71.92	1	0.6161613378022699	1
Acid31	6.205403532103758e-10	0	4.947140951117035e-06	0	NA	0	NA	1	8.060000000000002	0	0.0100319841577918	0
