$ARGS
character(0)

$input
[1] "/mnt/home-user/sswang/project/BTL/results/dating/official/wCelegans-correct/bootstrap/1-pf/dating/C60/mcmctree/mcmc.txt"

$only_norm
[1] TRUE

$cpu
[1] 20

t_n149	N(38.8662198398828,2.88139954825076)
t_n150	N(38.666998299176,2.86081338738805)
t_n151	N(38.2346185572093,2.82547586796628)
t_n152	N(37.1285532421633,2.74156295720265)
t_n153	N(32.7651966842283,2.38097567057553)
t_n154	N(25.485059012324,1.79772117525088)
t_n155	N(19.1267047191997,1.09428592754646)
t_n156	N(17.0397742253918,0.944310604706394)
t_n157	N(31.3663535714527,2.7695175127893)
t_n158	N(37.6319530391078,2.78228169354222)
t_n159	N(36.8995532003562,2.73140707250937)
t_n160	N(35.414730680238,2.65758105674864)
t_n161	N(30.6395040641595,2.57045425116054)
t_n162	N(28.5569400301955,2.6029228632935)
t_n163	N(32.5263001695862,2.66929753964215)
t_n164	N(35.0108385058395,2.62910118361571)
t_n165	N(31.4915595033737,2.58045730731413)
t_n166	N(30.6307977533397,2.59103987010553)
t_n167	N(25.6626704629395,2.95685297072815)
t_n168	N(32.1295086210237,2.54684303429688)
t_n169	N(30.3644312132588,2.51660855296597)
t_n170	N(29.4421328706432,2.51582398953766)
t_n171	N(27.5125451479963,2.55610099590296)
t_n172	N(24.377638952247,2.82531106056485)
t_n173	N(25.4396927255512,2.66514712459367)
t_n174	N(30.6966375409357,2.54672802210378)
t_n175	N(29.0613889391103,2.55015529405907)
t_n176	N(25.7898923315495,2.72204886999913)
t_n177	N(24.7111293080803,2.78947466856089)
t_n178	N(36.5659471197042,2.71164978821999)
t_n179	N(33.558892241752,2.60119963160827)
t_n180	N(32.971610486081,2.58360526469293)
t_n181	N(32.3378421714615,2.56216032510534)
t_n182	N(31.5052718439137,2.55101691064606)
t_n183	N(28.7280931797257,2.53542427829972)
t_n184	N(23.8479776437462,2.65508837780749)
t_n185	N(21.6085808809432,2.66548139954087)
t_n186	N(15.5154218194078,2.46726585713669)
t_n187	N(6.658311101677,1.60020351957116)
t_n188	N(9.64560687752317,2.05379855677931)
t_n189	N(32.107796301271,2.60458508071229)
t_n190	N(31.1036320936377,2.59628588763043)
t_n191	N(30.3123833563795,2.60067960275311)
t_n192	N(37.2515860812555,2.73430992924482)
t_n193	N(37.1320149978887,2.72440871246449)
t_n194	N(36.6737583513215,2.68581479791075)
t_n195	N(35.6437739299133,2.59800266753207)
t_n196	N(35.0490979111122,2.54238413965972)
t_n197	N(34.2416786242595,2.46963602896832)
t_n198	N(33.4377990184055,2.39366719741862)
t_n199	N(31.1633064960758,2.16967971641034)
t_n200	N(28.159629015008,1.92765466040697)
t_n201	N(20.9260970826225,1.38138758285148)
t_n202	N(18.8867790045373,1.28287440019495)
t_n203	N(14.8308051675308,1.33198810132493)
t_n204	N(16.015726188981,1.34864178949924)
t_n205	N(11.4193027777898,1.54817956988686)
t_n206	N(15.9977172953128,0.224380556630045)
t_n207	N(14.8656461454787,0.239909212739848)
t_n208	N(13.0911226157382,0.279042795447824)
t_n209	N(4.57263132788667,0.356751498482765)
t_n210	N(13.0648570603588,0.191713074105351)
t_n211	N(10.5574610029273,0.183575864733863)
t_n212	N(8.44779024339467,0.119147598925724)
t_n213	N(7.0862756655685,0.0879328441832412)
t_n214	N(6.31017588848733,0.0734356556842622)
t_n215	N(4.86755417590783,0.138932678117355)
t_n216	N(6.118984388846,0.110258872455328)
t_n217	N(3.20857358999583,0.0223322891587866)
t_n218	N(10.3848536053938,0.19959367706986)
t_n219	N(8.42314244282483,0.236099801399272)
t_n220	N(6.03326163718917,0.2588472113744)
t_n221	N(15.347356712174,0.227307760436874)
t_n222	N(14.924157622831,0.195415864697797)
t_n223	N(14.1941091697017,0.227280883657845)
t_n224	N(12.2743040772342,0.275354438290108)
t_n225	N(8.82060429959267,0.328242815216878)
t_n226	N(10.3458946577727,0.293373113586011)
t_n227	N(13.9963856483557,0.173266192693511)
t_n228	N(13.443444955514,0.176475429396162)
t_n229	N(10.1563623216493,0.299850137505053)
t_n230	N(4.915720109388,0.14057073047453)
t_n231	N(2.50354562256217,0.0659593026760726)
t_n232	N(10.6008433744957,0.106692672457454)
t_n233	N(7.21328974334933,0.267408174798315)
t_n234	N(27.4506715445437,1.79796993853373)
t_n235	N(21.7432629041288,1.28135320553132)
t_n236	N(19.5846154073237,1.10203069249773)
t_n237	N(18.7530188989402,1.07542402338517)
t_n238	N(13.6568439743125,1.03564335655382)
t_n239	N(4.40747539489533,0.907165881096184)
t_n240	N(16.5225804310733,1.13121176334093)
t_n241	N(6.28539392409933,1.24555283133363)
t_n242	N(17.440436441908,0.936831714533372)
t_n243	N(16.2948241937897,1.75516192122038)
t_n244	N(31.4715799902992,2.26277748529645)
t_n245	N(30.0762166534987,2.2090880168545)
t_n246	N(28.9426867504422,2.1770485769337)
t_n247	N(27.9760877202695,2.18905444633858)
t_n248	N(31.7401314766363,2.35742860759298)
t_n249	N(30.3456297933605,2.3222173926293)
t_n250	N(28.8094437702235,2.32814408543767)
t_n251	N(28.528829212131,2.35492436905966)
t_n252	N(34.7232190006302,2.5689975039125)
t_n253	N(32.3322916278645,2.43912931108215)
