assembly IDs	species	genus	family	order	class	phylum	superkingdom	gram_stain	metabolism	pathways	carbon_substrates	sporulation	motility	range_tmp	range_salinity	cell_shape	isolation_source	d1_lo	d1_up	d2_lo	d2_up	doubling_h	genome_size	gc_content	coding_genes	optimum_tmp	optimum_ph	growth_tmp	rRNA16S_genes	tRNA_genes	gram_stain.count	metabolism.count	pathways.count	carbon_substrates.count	sporulation.count	motility.count	range_tmp.count	range_salinity.count	cell_shape.count	isolation_source.count	gram_stain.prop	metabolism.prop	pathways.prop	carbon_substrates.prop	sporulation.prop	motility.prop	range_tmp.prop	range_salinity.prop	cell_shape.prop	isolation_source.prop	d1_lo.count	d1_up.count	d2_lo.count	d2_up.count	doubling_h.count	genome_size.count	gc_content.count	coding_genes.count	optimum_tmp.count	optimum_ph.count	growth_tmp.count	rRNA16S_genes.count	tRNA_genes.count	d1_lo.stdev	d1_up.stdev	d2_lo.stdev	d2_up.stdev	doubling_h.stdev	genome_size.stdev	gc_content.stdev	coding_genes.stdev	optimum_tmp.stdev	optimum_ph.stdev	growth_tmp.stdev	rRNA16S_genes.stdev	tRNA_genes.stdev	data_source	ref_id	tid
GCA_000010525.1	Azorhizobium caulinodans	Azorhizobium	Xanthobacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	negative	aerobic	nitrogen_fixation		no					host_plant						5369771.5	67.3	4713.667			30.0	3.0	53.0	2	1.0	1	0	1	0	0	0	0	1.0	100.0	100.0	100.0		100.0					100.0	0	0	0.0	0.0	0	4	1	3	0	0	1	2	2						1.0		7.572				0.0	0.0	engqvist, genbank, gold, jemma-refseq, kegg, pasteur, protraits, rrndb	705, 6102, 13521, 13643, 15838, 19908	7
GCA_004291335.1	Limnobacter thiooxidans	Limnobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	negative	aerobic	thiosulfate_oxidation_dark, aerobic_chemo_heterotrophy							sediment_fresh											30.0			1	1.0	4	0	0	0	0	0	0	1.0	100.0	100.0	100.0							50.0	0	0	0.0	0.0	0	0	0	0	0	0	1	0	0														engqvist, faprotax, gold, pasteur	705, 1283, 13521	131080
GCA_900128725.1	Buchnera aphidicola	Buchnera	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	negative				no		mesophilic		coccobacillus	host_animal_ectotherm	3.0				35.4	601699.243	25.469	517.549			24.0	1.0	30.485	25	0.0	0	0	1	0	16	0	1	4.0	100.0				100.0		100.0		100.0	40.0	6	0	0.0	0.0	2	74	41	51	0	0	2	32	33	0.0				0.0	81529.13900000001	1.855	82.98299999999999			0.0	0.0	0.5660000000000001	genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva	5601, 9112, 9158, 9864, 9910, 10313, 10358, 10636, 10675, 10882, 10920, 11080, 8599, 11234, 11265, 11376, 11407, 11492, 11522, 11593, 11619, 11675, 11700, 11754, 11830, 13521, 13759, 13760, 13761, 13762, 13763, 13764, 13765, 13766, 13767, 15281, 15329, 15351, 15652, 16049, 16050, 16630, 16910, 16911, 16913, 16914, 16915, 17416, 18018, 18019, 18020, 18021, 19501, 19891, 19897, 19908, 20069	9
GCA_000372085.1	Corynebacterium capitovis	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	positive	anaerobic			no	no	mesophilic			host						1960866.0	64.5				37.0			3	2.0	0	0	3	2	1	0	0	1.0	100.0	66.7			100.0	100.0	100.0			100.0	0	0	0.0	0.0	0	2	1	0	0	0	1	0	0						0.0								engqvist, gold, microbe-directory, pasteur, patric	705, 13521, 19891, 19897	131081
GCA_000218545.1	Cellulomonas gilvus	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria	positive	facultative	cellulose_degradation		no	yes	mesophilic		bacillus	host_animal_endotherm						3526440.8	73.805	3139.333	37.0		26.0	2.0	45.0	3	1.0	4	0	1	1	1	0	1		75.0	50.0	100.0		100.0	100.0	100.0		100.0		0	0	0.0	0.0	0	5	2	3	2	0	1	2	2						0.447	0.006999999999999999	23.587	0.0			0.0	0.0	engqvist, faprotax, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb	705, 1030, 6289, 13521, 13874, 16639, 19891, 19897, 19908	11
GCA_008244535.1	Dictyoglomus thermophilum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria	negative	anaerobic	cellulose_degradation		no	no	thermophilic		bacillus	water_hotspring	0.4	0.6	5.0	20.0	2.47	1959987.6	33.7	1876.3329999999999	78.0		74.15	2.0	46.0	2	3.0	1	0	4	2	1	0	2	1.0	66.7	100.0	100.0		100.0	100.0	100.0		100.0	100.0	1	1	1.0	1.0	1	5	2	3	3	0	2	2	2	0.0	0.0	0.0	0.0		1.3419999999999999	0.0	31.086	0.0		5.869	0.0	0.0	corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys	436, 705, 6230, 13521, 14083, 16003, 19891, 19897, 19908	14
GCA_000620065.1	Meiothermus cerbereus	Meiothermus	Thermaceae	Thermales	Deinococci	Deinococcus-Thermus	Bacteria	negative		thiosulfate_oxidation_dark		no	no			bacillus	water_hotspring	0.5	0.8				3034817.0			55.0		50.0			1	0.0	2	0	1	1	0	0	1	1.0	100.0		100.0		100.0	100.0			100.0	100.0	1	1	0.0	0.0	0	1	0	0	1	0	1	0	0														engqvist, faprotax, gold	705, 726, 13521	65552
GCA_008015785.1	Methylophilus methylotrophus	Methylophilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria	negative	aerobic	nitrate_reduction		no	yes			bacillus	sludge	0.3	0.6	0.8	1.5		2862261.0			36.375		33.0			2	2.0	1	0	2	2	0	0	3	1.0	66.7	66.7	100.0		100.0	66.7			100.0	50.0	2	2	2.0	2.0	0	1	0	0	4	0	1	0	0	0.0	0.0	0.0	0.0					3.3760000000000003					engqvist, faprotax, gold, microbe-directory	705, 753, 13521, 19891	17
GCA_000024885.1	Sulfurospirillum deleyianum	Sulfurospirillum	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	negative	microaerophilic	nitrite_reduction, nitrate_reduction_to_ammonia, thiosulfate_reduction, nitrate_reduction, fumarate_reduction, sulfide_oxidation_dark, nitrite_reduction_to_ammonia, arsenate_reduction, sulfur_reduction, hydrogen_oxidation_dark, sulfite_reduction		no	yes	mesophilic		bacillus	sediment_fresh	0.3	0.5	1.0	3.0		2306350.8	39.0	2260.333	25.0	7.05	29.0	3.0	43.0	4	2.0	24	0	3	2	1	0	2	1.0	100.0	100.0	100.0		100.0	100.0	100.0		100.0	50.0	1	1	1.0	1.0	0	5	2	3	1	1	1	2	2						0.447	0.0	4.041				0.0	0.0	engqvist, faprotax, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb	705, 869, 870, 871, 815, 753, 6563, 13521, 15065, 16251, 19891, 19897, 19908	65553
GCA_000012885.1	Pelobacter carbinolicus	Pelobacter	Desulfuromonadaceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria	Bacteria	negative	anaerobic	sulfur_reduction, iron_reduction, fermentation		no		mesophilic		bacillus	petroleum	0.5	0.7	1.2	3.0		3722544.667	55.1	3222.667			30.0	2.0	54.0	4	2.0	7	0	2	0	1	0	2	1.0	100.0	100.0	100.0		100.0		100.0		100.0	50.0	1	1	1.0	1.0	0	6	2	3	0	0	1	2	2	0.0	0.0	0.0	0.0		138769.146	0.0	72.016				0.0	0.0	engqvist, faprotax, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys	705, 760, 5944, 13521, 14696, 15514, 19891, 19897, 19908	19
GCA_000341395.1	Desulfocapsa sulfexigens	Desulfocapsa	Desulfobulbaceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	Bacteria	negative	anaerobic	sulfite_oxidation, thiosulfate_disproportionation, sulfur_oxidation, fermentation, sulfite_reduction, sulfate_reduction		no	yes			bacillus	sediment_marine	0.5		2.0	4.0		4023511.5	45.388999999999996	3518.0	30.0	7.1	25.0	3.0	46.0	3	1.0	8	0	3	1	0	0	1	1.0	100.0	100.0	100.0		100.0	100.0			100.0	100.0	1	0	1.0	1.0	0	4	1	3	2	1	1	2	2						1.0		16.371	0.0			0.0	0.0	amend-shock, engqvist, faprotax, genbank, gold, jemma-refseq, kegg, microbe-directory, protraits, rrndb	36, 705, 760, 6940, 13521, 14046, 17530, 19891, 19908	65555
GCA_001375595.1	Phenylobacterium immobile	Phenylobacterium	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	negative	aerobic								soil					7.5	3328570.0					29.0			1	2.0	0	0	0	0	0	0	0	2.0	100.0	100.0								100.0	0	0	0.0	0.0	1	1	0	0	0	0	2	0	0											0.0			corkrey, engqvist, gold, pasteur	361, 705, 13521	21
GCA_001735525.1	Shewanella colwelliana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	negative	aerobic	nitrate_reduction	2-aminethanol, 2,3-butanediol, acetate, asparagine, glucose, lactate, methyl beta-D-glucoside, ornithine, raffinose, serine, succinate, sucrose, Tween 20, Tween 40, Tween 80	no					host_animal_ectotherm	0.6	1.5	1.25	20.0		4598077.333000001	45.4		22.5		25.0			3	3.0	1	1	2	0	0	0	0	2.0	100.0	75.0	100.0	100.0	100.0					50.0	2	1	2.0	1.0	0	3	1	0	1	0	3	0	0	0.141		0.354			38828.039					2.0			engqvist, fierer, gold, pasteur, patric	705, 4962, 13521, 19897	23
GCA_001559595.1	Enterovibrio coralii	Enterovibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	negative	facultative		alanine, asparagine, aspartate, cellobiose, dextrin, fructose, galactose, gluconic acid, glucose, glutamate, glycogen, histidine, inosine, lactose, maltose, mannitol, mannose, melibiose, methyl beta-D-glucoside, N-acetylgulcosamine, raffinose, serine, sorbitol, succinate, sucrose, thymidine, trehalose, uridine		yes	mesophilic			host_animal_endotherm_intratissue						5497922.5	48.34		25.0		28.0			1	1.0	0	1	0	1	1	0	0	1.0	100.0	100.0		100.0		100.0	100.0			100.0	0	0	0.0	0.0	0	2	1	0	2	0	1	0	0						5765.0419999999995			0.0					engqvist, fierer, gold, patric	705, 2824, 13521, 19897	294935
GCA_007197645.1	Shewanella hanedai	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	negative	aerobic								sediment	0.5	1.0	1.5	2.0							16.0			1	1.0	0	0	0	0	0	0	0	1.0	100.0	100.0								100.0	1	1	1.0	1.0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0										engqvist, gold, pasteur, bergeys	705, 13521	25
GCA_003026455.1	Photobacterium rosenbergii	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	negative		nitrate_reduction	acetate, alanine, alaninamide, asparagine, aspartate, cellobiose, citrate, dextrin, formic acid, fructose, galactose, glucose, glutamate, glycerol, histidine, inosine, maltose, mannitol, mannose, melibiose, methyl pyruvate, N-acetylgulcosamine, ornithine, propionate, raffinose, serine, succinate, sucrose, threonine, thymidine, trehalose, Tween 40, Tween 80, uridine		yes				host_animal_endotherm_intratissue	1.5		3.0						25.0		28.0			1	0.0	1	1	0	1	0	0	0	1.0	100.0		100.0	100.0		100.0				100.0	1	0	1.0	0.0	0	0	0	0	1	0	1	0	0														engqvist, fierer, gold	705, 2824, 13521	294936
GCA_003044255.1	Shewanella putrefaciens	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	negative		uranyl_reduction, manganese_reduction, iron_reduction, sulfur_reduction		no	yes	mesophilic		bacillus	food	0.5	1.0	1.5	2.0		4461715.143	44.54600000000001	4148.0			27.0	8.0	100.667	12	0.0	301	0	5	8	2	0	8	1.0	100.0		100.0		100.0	100.0	100.0		100.0	20.0	1	1	1.0	1.0	0	14	7	5	0	0	1	2	3	0.0	0.0	0.0	0.0		438307.83200000005	0.297	180.081				0.0	0.5770000000000001	amend-shock, engqvist, faprotax, genbank, gold, kegg, microbe-directory, pasteur, patric, protraits, roden-jin, rrndb, bergeys	150, 705, 1294, 5627, 9088, 9178, 13521, 15742, 17099, 19891, 19897, 19908, 19920	24
GCA_000374485.1	Algicola sagamiensis	Algicola	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	negative	aerobic			no	yes	mesophilic		bacillus	water_marine	0.7	1.4	2.5	3.7		4341211.5	42.8		27.0	8.0	27.5			3	3.0	0	0	3	2	1	0	2	2.0	100.0	100.0			100.0	100.0	100.0		100.0	100.0	1	1	1.0	1.0	0	2	1	0	3	1	2	0	0						3029.953			0.0		0.7070000000000001			engqvist, gold, microbe-directory, pasteur, patric	705, 13521, 19891, 19897	163869
GCA_007991095.1	Myxococcus fulvus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	negative	aerobic			yes	yes	mesophilic		bacillus	soil	0.6	0.8	4.0	8.0		9887677.667000001	69.49	7395.75	30.5		28.0	3.0	71.667	7	4.0	0	0	3	4	2	0	4	2.0	100.0	100.0			100.0	100.0	100.0		100.0	50.0	1	1	1.0	1.0	0	9	4	4	2	0	1	3	3	0.0	0.0	0.0	0.0		1050640.3159999999	1.4240000000000002	730.051	0.7070000000000001			0.0	6.351	engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys	705, 6176, 8843, 13521, 14571, 16660, 19891, 19897, 19908	33
GCA_013116825.1	Myxococcus xanthus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	negative	obligate aerobic			yes	yes	mesophilic		bacillus	soil	0.7	0.8	4.0	8.0	4.0	9163854.4	68.85	7218.3330000000005	23.333000000000002		29.0	4.0	65.0	10	3.0	0	0	4	5	1	0	5	2.0	100.0	60.0			100.0	100.0	100.0		100.0	100.0	1	1	1.0	1.0	1	10	4	3	3	0	2	2	2	0.0	0.0	0.0	0.0		135711.508	0.057999999999999996	99.405	2.887		1.4140000000000001	0.0	0.0	engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys	705, 5887, 13521, 14573, 15595, 19891, 19897, 19908, 20148	34
GCA_000219105.1	Myxococcus macrosporus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	negative	aerobic				yes	mesophilic		bacillus	soil						8973511.5	70.61	7062.5	30.0		27.0	4.0	65.0	3	1.0	0	0	0	1	1	0	1	1.0	100.0	100.0				100.0	100.0		100.0	100.0	0	0	0.0	0.0	0	4	2	2	1	0	2	1	1						1.0	0.013999999999999999	113.844			1.4140000000000001			engqvist, genbank, gold, kegg, patric, rrndb	705, 7120, 13521, 19723, 19897	35
