assembly ID	domain	phylum	class	order	family	genus	species	full scientific name	metabolism
GCA_900248245	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetatifactor	Acetatifactor muris	<I>Acetatifactor</I> <I>muris</I> Pfeiffer et al. 2013	anaerobe
GCA_900112085	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetitomaculum	Acetitomaculum ruminis	<I>Acetitomaculum</I> <I>ruminis</I> Greening and Leedle 1995	anaerobe
GCA_002844395	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio saccincola	<I>Acetivibrio</I> <I>saccincola</I> (Koeck et al. 2016) Tindall 2019	anaerobe
GCA_002969215	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio saccincola	<I>Acetivibrio</I> <I>saccincola</I> (Koeck et al. 2016) Tindall 2019	anaerobe
GCA_012728665	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio saccincola	<I>Acetivibrio</I> <I>saccincola</I> (Koeck et al. 2016) Tindall 2019	anaerobe
GCA_000184925	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio thermocellus	<I>Acetivibrio</I> <I>thermocellus</I> (Viljoen et al. 1926) Tindall 2019	anaerobe
GCA_000175715	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio thermocellus	<I>Acetivibrio</I> <I>thermocellus</I> (Viljoen et al. 1926) Tindall 2019	anaerobe
GCA_001692755	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio thermocellus	<I>Acetivibrio</I> <I>thermocellus</I> (Viljoen et al. 1926) Tindall 2019	anaerobe
GCA_004341595	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter aceti	<I>Acetobacter</I> <I>aceti</I> (Pasteur 1864) Beijerinck 1898 (Approved Lists 1980)	aerobe
GCA_001581005	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter orleanensis	<I>Acetobacter</I> <I>orleanensis</I> (Henneberg 1906) Lisdiyanti et al. 2001	aerobe
GCA_002358055	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter orleanensis	<I>Acetobacter</I> <I>orleanensis</I> (Henneberg 1906) Lisdiyanti et al. 2001	aerobe
GCA_006539325	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter orleanensis	<I>Acetobacter</I> <I>orleanensis</I> (Henneberg 1906) Lisdiyanti et al. 2001	aerobe
GCA_001766835	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium wieringae	<I>Acetobacterium</I> <I>wieringae</I> Braun and Gottschalk 1983	anaerobe
