assembly ID	Length	GC-content	Present Markers	Completeness	Redundancy	Weighted completeness	Weighted redundancy	Contigs	N50	L50	N90	L90	CDs	GC
GCA_008015785.1	-	-	24	0.2286	1.0833	0.3887	1.0649	-	-	-	-	-	1128	49.10849294798773
GCA_000372085.1	-	-	103	0.981	1.0097	0.9673	1.0169	-	-	-	-	-	1847	62.85754260151141
GCA_002847545.1	-	-	103	0.981	1.0097	0.966	1.0228	-	-	-	-	-	1773	55.465035640496396
GCA_900106055.1	-	-	102	0.9714	1.0294	0.9599	1.0312	-	-	-	-	-	2118	58.92614594207365
GCA_000012885.1	-	-	103	0.981	1.0388	0.9702	1.0355	-	-	-	-	-	3233	55.11374718247368
GCA_000218545.1	-	-	104	0.9905	1.0385	0.9775	1.0551	-	-	-	-	-	3202	73.81288953934009
GCA_900105865.1	-	-	101	0.9619	1.0198	0.9402	1.0396	-	-	-	-	-	1745	49.96632208100515
GCA_008244535.1	-	-	100	0.9524	1.02	0.9534	1.016	-	-	-	-	-	1923	35.50928540338881
GCA_000024885.1	-	-	103	0.981	1.0097	0.9669	1.0157	-	-	-	-	-	2284	38.96982722924655
GCA_003860075.1	-	-	100	0.9524	1.02	0.9299	1.04	-	-	-	-	-	2468	68.07324019035445
GCA_001375595.1	-	-	104	0.9905	1.0192	0.9814	1.028	-	-	-	-	-	3224	66.0464776596314
GCA_000374485.1	-	-	105	1.0	1.0095	1.0	1.0151	-	-	-	-	-	3966	42.985924376616964
GCA_004217495.1	-	-	102	0.9714	1.0098	0.9508	1.0138	-	-	-	-	-	3395	68.17291646610639
GCA_004291335.1	-	-	104	0.9905	1.0	0.9918	1.0	-	-	-	-	-	3203	53.37715020400469
GCA_000341395.1	-	-	104	0.9905	1.0288	0.9784	1.0428	-	-	-	-	-	3546	44.77318114566805
GCA_001735525.1	-	-	105	1.0	1.0381	1.0	1.0499	-	-	-	-	-	4100	45.09859241651021
GCA_000010525.1	-	-	104	0.9905	1.0	0.9814	1.0	-	-	-	-	-	4799	67.31902211118089
GCA_002224365.1	-	-	105	1.0	1.0	1.0	1.0	-	-	-	-	-	4139	37.271356118911186
GCA_000934525.1	-	-	103	0.981	1.1456	0.9701	1.0699	-	-	-	-	-	4250	44.868526375488166
GCA_007197645.1	-	-	105	1.0	1.019	1.0	1.0151	-	-	-	-	-	5037	43.74124006102556
GCA_001559595.1	-	-	104	0.9905	1.0673	0.9854	1.0992	-	-	-	-	-	5780	49.53850988647929
GCA_003583765.1	-	-	105	1.0	1.0476	1.0	1.1034	-	-	-	-	-	5322	51.11308087301098
GCA_000382305.1	-	-	104	0.9905	1.0192	0.9884	1.0446	-	-	-	-	-	2506	43.288113763530646
GCA_013116825.1	-	-	103	0.981	1.1845	0.9631	1.1666	-	-	-	-	-	7398	67.47526723538058
GCA_000219105.1	-	-	103	0.981	1.1845	0.9789	1.1844	-	-	-	-	-	7286	70.62512710203582
GCA_002951835.1	-	-	104	0.9905	1.0	0.9884	1.0	-	-	-	-	-	2385	41.52515403694619
GCA_900109545.1	-	-	104	0.9905	1.1538	0.9907	1.1512	-	-	-	-	-	7375	66.95724898025507
GCA_001637565.1	-	-	103	0.981	1.0	0.966	1.0	-	-	-	-	-	3033	70.11716561734073
GCA_001189295.1	-	-	102	0.9714	1.0686	0.9877	1.1025	-	-	-	-	-	8316	68.70909996477035
GCA_007991095.1	-	-	104	0.9905	1.1827	0.9907	1.1523	-	-	-	-	-	8661	68.83486721079379
GCA_004136555.1	-	-	104	0.9905	1.0192	0.9775	1.0382	-	-	-	-	-	3034	63.70999560368187
GCA_001303745.1	-	-	74	0.7048	1.0811	0.638	1.0788	-	-	-	-	-	1427	46.75604172603132
GCA_002222655.1	-	-	104	0.9905	1.0096	0.9884	1.0008	-	-	-	-	-	3504	63.03222548228539
GCA_009858245.1	-	-	103	0.981	1.0194	0.9773	1.0494	-	-	-	-	-	3505	70.64292448082121
GCA_000601485.1	-	-	102	0.9714	1.049	0.9567	1.0858	-	-	-	-	-	8683	69.2264535161077
GCA_001303405.1	-	-	70	0.6667	1.1429	0.7302	1.1845	-	-	-	-	-	2639	46.578404516046604
GCA_001302805.1	-	-	57	0.5429	1.0	0.3881	1.0	-	-	-	-	-	1120	64.877812202352
GCA_900095785.1	-	-	104	0.9905	1.0385	0.9814	1.074	-	-	-	-	-	4056	57.502317916911316
GCA_001304295.1	-	-	59	0.5619	1.0508	0.4299	1.0074	-	-	-	-	-	1492	62.462962550075694
GCA_001303305.1	-	-	82	0.781	1.2073	0.7393	1.3261	-	-	-	-	-	3232	46.18890754290924
GCA_001303885.1	-	-	75	0.7143	1.0267	0.6044	1.0776	-	-	-	-	-	1968	69.368634638975
GCA_013626205.1	-	-	104	0.9905	1.0288	0.9814	1.0483	-	-	-	-	-	3305	65.83190178167426
GCA_003634455.1	-	-	103	0.981	1.0	0.9747	1.0	-	-	-	-	-	3345	42.45808716771807
GCA_002305875.1	-	-	104	0.9905	1.1923	0.9907	1.1832	-	-	-	-	-	9993	68.48675567687881
GCA_003387095.1	-	-	104	0.9905	1.1827	0.9907	1.1594	-	-	-	-	-	9868	68.23609634117942
GCA_001303605.1	-	-	68	0.6476	1.0735	0.5115	1.1015	-	-	-	-	-	3088	66.82011608580054
GCA_001303205.1	-	-	74	0.7048	1.4459	0.7322	1.55	-	-	-	-	-	5716	50.07446310588755
GCA_000018565.1	-	-	105	1.0	1.0381	1.0	1.0427	-	-	-	-	-	5584	52.487602245282694
GCA_001856085.1	-	-	27	0.2571	1.037	0.2471	1.0711	-	-	-	-	-	1241	47.76996076099252
GCA_002846395.1	-	-	102	0.9714	1.0098	0.9699	1.0151	-	-	-	-	-	3843	47.88536567893231
GCA_007997115.1	-	-	104	0.9905	1.0192	0.9863	1.0337	-	-	-	-	-	3480	32.11788876577452
GCA_002950945.1	-	-	103	0.981	1.0874	0.9497	1.1315	-	-	-	-	-	10485	71.72886251974829
GCA_003751345.1	-	-	105	1.0	1.019	1.0	1.0354	-	-	-	-	-	5439	67.67804091143873
GCA_001598195.1	-	-	100	0.9524	1.0	0.9297	1.0	-	-	-	-	-	1340	30.38476616722813
GCA_002995985.1	-	-	99	0.9429	1.0101	0.9112	1.0166	-	-	-	-	-	1207	26.551661280077447
GCA_000426385.1	-	-	103	0.981	1.0194	0.9638	1.0386	-	-	-	-	-	3709	70.72128972486821
GCA_000568735.2	-	-	99	0.9429	1.0101	0.8899	1.028	-	-	-	-	-	1023	31.818356419103186
GCA_001936255.1	-	-	101	0.9619	1.0	0.9522	1.0	-	-	-	-	-	946	27.928624846695755
GCA_003568645.1	-	-	100	0.9524	1.01	0.9205	1.0270000000000001	-	-	-	-	-	1238	30.116065930323458
GCA_007991775.1	-	-	105	1.0	1.0476	1.0	1.0701	-	-	-	-	-	7934	63.215586125788555
GCA_000184345.2	-	-	103	0.981	1.0291	0.9675	1.0631	-	-	-	-	-	2308	60.918310990218814
