	A	N	dist
GB_GCA_001829155.1	0.006446292135298	0.993553707864702	44.5232
RS_GCF_900112165.1	0.2971933030706454	0.7028066969293546	44.5232
GB_GCA_025061835.1	0.0152846289559201	0.9847153710440799	44.5232
GB_GCA_001829395.1	0.0260321413323641	0.9739678586676359	44.5232
GB_GCA_020052515.1	0.0047991003072844	0.9952008996927156	44.5232
GB_GCA_001829415.1	0.0020421451711188	0.9979578548288812	44.5232
GB_GCA_020059465.1	0.0020421451711188	0.9979578548288812	44.5232
GB_GCA_013177895.1	0.0020421451711188	0.9979578548288812	44.5232
GB_GCA_023525255.1	0.0019664823158771	0.9980335176841229	44.5232
GB_GCA_013177995.1	0.001543767978156	0.998456232021844	44.5232
GB_GCA_934725525.1	0.170833466801613	0.8291665331983871	44.5232
RS_GCF_005518285.1	0.2118191231747915	0.7881808768252085	44.5232
RS_GCF_008016455.1	0.2046062007281936	0.7953937992718064	44.5232
GB_GCA_944390575.1	0.339334191535601	0.660665808464399	44.5232
GB_GCA_016214035.1	0.0029602195886013	0.9970397804113987	44.5232
GB_GCA_934747485.1	0.3538099720918062	0.6461900279081938	44.5232
GB_GCA_934725655.1	0.0911764089559351	0.908823591044065	44.5232
RS_GCF_019402445.1	0.2098772977739977	0.7901227022260023	44.5232
RS_GCF_000325665.1	0.3150247729923465	0.6849752270076535	44.5232
RS_GCF_008016535.1	0.339334191535601	0.660665808464399	44.5232
RS_GCF_009755885.1	0.2098772977739977	0.7901227022260023	44.5232
GB_GCA_944388875.1	0.2951544311479552	0.7048455688520447	44.5232
GB_GCA_944390595.1	0.5262225600000748	0.47377743999992517	44.5232
RS_GCF_000518245.1	0.5262225600000748	0.47377743999992517	44.5232
RS_GCF_002379365.1	0.5102629408917916	0.4897370591082084	44.5232
GB_GCA_910588665.1	0.2818875750894188	0.7181124249105812	44.5232
GB_GCA_944390845.1	0.3428926539435045	0.6571073460564956	44.5232
RS_GCF_000092845.1	0.5102629408917916	0.4897370591082084	44.5232
RS_GCF_000384655.1	0.5102629408917916	0.4897370591082084	44.5232
GB_GCA_944392715.1	0.3013957084959672	0.6986042915040328	44.5232
RS_GCF_002214805.1	0.3013957084959672	0.6986042915040328	44.5232
GB_GCA_910578695.1	0.2691288630596275	0.7308711369403724	44.5232
RS_GCF_000316195.1	0.199472544517677	0.800527455482323	44.5232
RS_GCF_001746205.1	0.3013957084959672	0.6986042915040328	44.5232
RS_GCF_001676785.2	0.3150247729923465	0.6849752270076535	44.5232
GB_GCA_944393015.1	0.3013957084959672	0.6986042915040328	44.5232
RS_GCF_001049755.1	0.5102629408917916	0.4897370591082084	44.5232
RS_GCF_000223215.1	0.3150247729923465	0.6849752270076535	44.5232
GB_GCA_013426755.1	0.9000006897653686	0.09999931023463138	44.5232
GB_GCA_003497555.1	0.0123906865863474	0.9876093134136525	44.5232
GB_GCA_023135745.1	0.0054806876190132	0.9945193123809868	44.5232
GB_GCA_913053665.1	0.3621697318280915	0.6378302681719086	44.5232
GB_GCA_017624275.1	0.0038899722820396	0.9961100277179604	44.5232
GB_GCA_002450905.1	0.3892426425204867	0.6107573574795133	44.5232
GB_GCA_017302015.1	0.253586632171133	0.746413367828867	44.5232
GB_GCA_001829315.1	0.0018215179904019	0.9981784820095981	0.0
GB_GCA_022508205.1	0.0055489201632716	0.9944510798367284	44.5232
GB_GCA_022361115.1	0.0015928500921259	0.998407149907874	44.5232
GB_GCA_017540815.1	0.0039907862579107	0.9960092137420893	44.5232
GB_GCA_002070605.1	0.0010733486381779	0.9989266513618221	44.5232
RS_GCF_011812985.1	0.185986384209271	0.814013615790729	44.5232
RS_GCF_011812995.1	0.1958597913760708	0.8041402086239292	44.5232
GB_GCA_001829125.1	0.001476121241848	0.998523878758152	44.5232
GB_GCA_017998755.1	0.0010069447714891	0.9989930552285109	44.5232
GB_GCA_016935915.1	0.0011454474520072	0.9988545525479928	44.5232
RS_GCF_011812965.1	0.1958597913760708	0.8041402086239292	44.5232
GB_GCA_020024055.1	0.3147040822735789	0.6852959177264211	44.5232
GB_GCA_009784515.1	0.0202875675624972	0.9797124324375028	44.5232
GB_GCA_016936295.1	0.001205631426429	0.998794368573571	44.5232
RS_GCF_008329945.1	0.0060856526997109	0.993914347300289	44.5232
GB_GCA_003247135.1	0.0089542663197074	0.9910457336802926	44.5232
GB_GCA_016936555.1	0.0103051607552854	0.9896948392447146	44.5232
RS_GCF_014207565.1	0.003396387972915	0.996603612027085	44.5232
GB_GCA_016342385.1	0.0021432112238571	0.9978567887761429	44.5232
GB_GCA_003249275.1	0.1065961727016586	0.8934038272983414	44.5232
GB_GCA_002084805.1	0.0037992705510499	0.9962007294489501	44.5232
RS_GCF_008329965.1	0.008512946153075	0.991487053846925	44.5232
GB_GCA_016744925.1	0.0145710908105002	0.9854289091894998	44.5232
RS_GCF_003346715.1	0.0050015660944011	0.994998433905599	44.5232
GB_GCA_002408085.1	0.0061784187336505	0.9938215812663495	44.5232
GB_GCA_003246505.1	0.0118982146835801	0.9881017853164199	44.5232
GB_GCA_002084135.1	0.0089242449654455	0.9910757550345545	44.5232
GB_GCA_016936115.1	0.0162418020990578	0.9837581979009422	44.5232
GB_GCA_002748225.1	0.0298830166748342	0.9701169833251658	44.5232
GB_GCA_022360655.1	0.0053363149483778	0.9946636850516222	44.5232
GB_GCA_003644105.1	0.006334058376886	0.993665941623114	44.5232
GB_GCA_900608495.1	0.0123562417476625	0.9876437582523375	44.5232
GB_GCA_002352375.1	0.0160744809382198	0.9839255190617802	44.5232
GB_GCA_020720765.1	0.0310973355057791	0.9689026644942209	44.5232
RS_GCF_000426705.1	0.0432938129003939	0.9567061870996061	44.5232
GB_GCA_023265735.1	0.4422440499961029	0.5577559500038971	44.5232
GB_GCA_013043995.1	0.536809489030789	0.46319051096921104	44.5232
GB_GCA_020049045.1	0.4888696226616708	0.5111303773383292	44.5232
GB_GCA_021781625.1	0.0388576430786794	0.9611423569213206	44.5232
GB_GCA_013044245.1	0.2615757640834137	0.7384242359165862	44.5232
GB_GCA_021782055.1	0.1312575899972301	0.8687424100027699	44.5232
GB_GCA_024402405.1	0.0039907862579107	0.9960092137420893	44.5232
GB_GCA_017446885.1	0.0037445685633678	0.9962554314366322	44.5232
GB_GCA_017649605.1	0.0074978593043988	0.9925021406956012	44.5232
GB_GCA_902787125.1	0.0053418389831034	0.9946581610168966	44.5232
GB_GCA_017554185.1	0.0037445685633678	0.9962554314366322	44.5232
GB_GCA_009786125.1	0.0103273419159752	0.9896726580840248	44.5232
GB_GCA_017642445.1	0.0074978593043988	0.9925021406956012	44.5232
GB_GCA_024233785.1	0.1175757464793139	0.8824242535206861	44.5232
GB_GCA_009780675.1	0.0103273419159752	0.9896726580840248	44.5232
GB_GCA_017535435.1	0.0037445685633678	0.9962554314366322	44.5232
GB_GCA_021736525.1	0.2202895925533244	0.7797104074466756	44.5232
GB_GCA_009778835.1	0.058416648827606	0.941583351172394	44.5232
GB_GCA_009783755.1	0.0056835031448119	0.9943164968551881	44.5232
GB_GCA_944390005.1	0.0088440785336354	0.9911559214663646	44.5232
GB_GCA_944388995.1	0.0088440785336354	0.9911559214663646	44.5232
GB_GCA_016936615.1	0.0034186748604041	0.9965813251395959	44.5232
GB_GCA_021736385.1	0.0034330373964028	0.9965669626035972	44.5232
GB_GCA_018399255.1	0.0026810996712573	0.9973189003287427	44.5232
GB_GCA_021736545.1	0.10598701404729	0.89401298595271	44.5232
GB_GCA_016784705.1	0.0100302082996631	0.9899697917003369	44.5232
GB_GCA_021736505.1	0.2610674249123856	0.7389325750876143	44.5232
GB_GCA_023139255.1	0.005287218172207	0.994712781827793	44.5232
GB_GCA_007128345.1	0.0066740031198068	0.9933259968801932	44.5232
GB_GCA_003557605.1	0.0034330373964028	0.9965669626035972	44.5232
GB_GCA_013202335.1	0.0026810996712573	0.9973189003287427	44.5232
GB_GCA_003559765.1	0.0045002046216961	0.9954997953783039	44.5232
GB_GCA_003454065.1	0.0203757260884095	0.9796242739115905	44.5232
GB_GCA_902797395.1	0.004087669312183	0.995912330687817	44.5232
GB_GCA_007116075.1	0.0027353108213919	0.9972646891786081	44.5232
GB_GCA_012523305.1	0.0034330373964028	0.9965669626035972	44.5232
GB_GCA_002428625.1	0.0125330825181627	0.9874669174818373	44.5232
GB_GCA_012729295.1	0.0035023991415742	0.9964976008584258	44.5232
GB_GCA_009929055.1	0.0069903264571916	0.9930096735428084	44.5232
GB_GCA_016938475.1	0.0112985065188016	0.9887014934811984	44.5232
GB_GCA_012838895.1	0.02630035855949	0.97369964144051	44.5232
GB_GCA_018433865.1	0.0072626611290107	0.9927373388709892	44.5232
GB_GCA_002839335.1	0.0034330373964028	0.9965669626035972	44.5232
GB_GCA_002839355.1	0.0018779183929862	0.9981220816070138	44.5232
GB_GCA_016649775.1	0.0300481431315631	0.9699518568684369	44.5232
GB_GCA_009930325.1	0.003816633924557	0.996183366075443	44.5232
GB_GCA_022482625.1	0.0042408872930138	0.9957591127069862	44.5232
GB_GCA_944392695.1	0.0134973075916255	0.9865026924083745	44.5232
GB_GCA_023231265.1	0.0091678302386048	0.9908321697613952	44.5232
GB_GCA_944393005.1	0.004067570806767	0.995932429193233	44.5232
GB_GCA_017694495.1	0.004067570806767	0.995932429193233	44.5232
GB_GCA_944390865.1	0.004067570806767	0.995932429193233	44.5232
GB_GCA_944388965.1	0.0057371394438705	0.9942628605561294	44.5232
GB_GCA_944390045.1	0.0134973075916255	0.9865026924083745	44.5232
GB_GCA_944390025.1	0.0051703566777856	0.9948296433222144	44.5232
GB_GCA_001604265.1	0.0237147747682518	0.9762852252317482	44.5232
GB_GCA_024698005.1	0.0041458056527819	0.9958541943472181	44.5232
GB_GCA_017478205.1	0.0041458056527819	0.9958541943472181	44.5232
GB_GCA_944389975.1	0.0251477080513842	0.9748522919486158	44.5232
RS_GCF_009695635.1	0.0148674235390621	0.9851325764609379	44.5232
GB_GCA_900769955.1	0.0415073470923102	0.9584926529076898	44.5232
