DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
SEPARATOR COMMA
#SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL,LR prediction

#dataset color (can be changed later)
COLOR,#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
#COLOR_BRANCHES,0

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE Dataset_legend
#LEGEND_SHAPES 1 1 2 2
#LEGEND_COLORS #ff0000 #00ff00 rgba(0,255,0,0.5) #0000ff
#LEGEND_LABELS value1 value2 value3 value4

LEGEND_TITLE,LR prediction
LEGEND_SHAPES,1,1
LEGEND_COLORS,#FFC75F,#D65DB1
LEGEND_LABELS,Aerobe,Anaerobe
#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#width of the colored strip
STRIP_WIDTH,50


#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,50


#border width; if set above 0, a border of specified width (in pixels) will be drawn around the color strip
#BORDER_WIDTH 0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA

#Examples:
#assign a red colored strip to leaf 9606, with label 'Human' (label is displayed in the mouseover popups)
#9606 #ff0000 Human

#assign a green, semi-transparent (alpha 0.5) strip to an internal node, without any label. If 'Show internal values' is set to 'No', this will only be displayed if the node is collapsed.
#9606|5664 rgba(0,255,0,0.5)

GB_GCA_001829315.1,#D65DB1,Anaerobe
GB_GCA_017544745.1,#D65DB1,Anaerobe
GB_GCA_018817025.1,#D65DB1,Anaerobe
GB_GCA_003554345.1,#D65DB1,Anaerobe
GB_GCA_017999075.1,#D65DB1,Anaerobe
GB_GCA_018663245.1,#D65DB1,Anaerobe
GB_GCA_002780065.1,#D65DB1,Anaerobe
GB_GCA_003697085.1,#D65DB1,Anaerobe
GB_GCA_023150535.1,#D65DB1,Anaerobe
GB_GCA_024274785.1,#D65DB1,Anaerobe
GB_GCA_022616055.1,#D65DB1,Anaerobe
GB_GCA_016935485.1,#D65DB1,Anaerobe
GB_GCA_016178505.1,#D65DB1,Anaerobe
GB_GCA_016209605.1,#D65DB1,Anaerobe
GB_GCA_003694875.1,#D65DB1,Anaerobe
GB_GCA_016209585.1,#D65DB1,Anaerobe
GB_GCA_024653775.1,#D65DB1,Anaerobe
GB_GCA_013360495.1,#D65DB1,Anaerobe
GB_GCA_021106775.1,#D65DB1,Anaerobe
GB_GCA_007127275.1,#D65DB1,Anaerobe
GB_GCA_003694635.1,#D65DB1,Anaerobe
GB_GCA_016209495.1,#D65DB1,Anaerobe
GB_GCA_016209595.1,#D65DB1,Anaerobe
GB_GCA_023261525.1,#D65DB1,Anaerobe
GB_GCA_016206515.1,#D65DB1,Anaerobe
GB_GCA_005239795.1,#D65DB1,Anaerobe
GB_GCA_022614695.1,#D65DB1,Anaerobe
GB_GCA_020723505.1,#D65DB1,Anaerobe
GB_GCA_022711755.1,#D65DB1,Anaerobe
GB_GCA_024278415.1,#D65DB1,Anaerobe
GB_GCA_001302825.1,#D65DB1,Anaerobe
GB_GCA_013152475.1,#D65DB1,Anaerobe
GB_GCA_016179685.1,#D65DB1,Anaerobe
GB_GCA_013202185.1,#D65DB1,Anaerobe
GB_GCA_001828445.1,#D65DB1,Anaerobe
GB_GCA_016192525.1,#D65DB1,Anaerobe
GB_GCA_016220095.1,#D65DB1,Anaerobe
GB_GCA_003644325.1,#D65DB1,Anaerobe
GB_GCA_004376375.1,#D65DB1,Anaerobe
GB_GCA_022072085.1,#D65DB1,Anaerobe
GB_GCA_011682385.1,#D65DB1,Anaerobe
GB_GCA_002746535.1,#FFC75F,Aerobe
GB_GCA_003644275.1,#D65DB1,Anaerobe
GB_GCA_016930595.1,#D65DB1,Anaerobe
GB_GCA_022703445.1,#D65DB1,Anaerobe
GB_GCA_016927125.1,#D65DB1,Anaerobe
RS_GCF_003339615.1,#FFC75F,Aerobe
GB_GCA_943908465.1,#FFC75F,Aerobe
GB_GCA_016866575.1,#FFC75F,Aerobe
GB_GCA_902609415.1,#FFC75F,Aerobe
GB_GCA_022601545.1,#FFC75F,Aerobe
GB_GCA_023265515.1,#D65DB1,Anaerobe
GB_GCA_021779435.1,#FFC75F,Aerobe
GB_GCA_007132345.1,#D65DB1,Anaerobe
GB_GCA_021734645.1,#D65DB1,Anaerobe
GB_GCA_016929905.1,#D65DB1,Anaerobe
GB_GCA_004525935.1,#D65DB1,Anaerobe
GB_GCA_913047795.1,#D65DB1,Anaerobe
GB_GCA_913055945.1,#D65DB1,Anaerobe
GB_GCA_002340265.1,#D65DB1,Anaerobe
GB_GCA_003477185.1,#FFC75F,Aerobe
GB_GCA_021160705.1,#D65DB1,Anaerobe
GB_GCA_017161665.1,#D65DB1,Anaerobe
GB_GCA_016928995.1,#D65DB1,Anaerobe
GB_GCA_012513815.1,#D65DB1,Anaerobe
GB_GCA_017161705.1,#D65DB1,Anaerobe
GB_GCA_015075175.1,#D65DB1,Anaerobe
GB_GCA_002428325.1,#D65DB1,Anaerobe
GB_GCA_012961655.1,#D65DB1,Anaerobe
GB_GCA_024278235.1,#D65DB1,Anaerobe
GB_GCA_003647715.1,#D65DB1,Anaerobe
GB_GCA_020348885.1,#D65DB1,Anaerobe
GB_GCA_016928395.1,#D65DB1,Anaerobe
GB_GCA_016928495.1,#D65DB1,Anaerobe
GB_GCA_903862805.1,#D65DB1,Anaerobe
GB_GCA_001800515.1,#D65DB1,Anaerobe
GB_GCA_017997825.1,#D65DB1,Anaerobe
GB_GCA_020724065.1,#D65DB1,Anaerobe
GB_GCA_016784425.1,#D65DB1,Anaerobe
GB_GCA_013152765.1,#D65DB1,Anaerobe
GB_GCA_016783505.1,#D65DB1,Anaerobe
GB_GCA_003644825.1,#D65DB1,Anaerobe
GB_GCA_025059945.1,#D65DB1,Anaerobe
GB_GCA_023251005.1,#FFC75F,Aerobe
GB_GCA_002779395.1,#D65DB1,Anaerobe
GB_GCA_016784265.1,#D65DB1,Anaerobe
GB_GCA_003647765.1,#D65DB1,Anaerobe
GB_GCA_024277525.1,#D65DB1,Anaerobe
GB_GCA_002011615.1,#D65DB1,Anaerobe
GB_GCA_016927185.1,#D65DB1,Anaerobe
GB_GCA_015490255.1,#D65DB1,Anaerobe
GB_GCA_003645615.1,#D65DB1,Anaerobe
GB_GCA_025060715.1,#D65DB1,Anaerobe
GB_GCA_015486685.1,#D65DB1,Anaerobe
GB_GCA_001304015.1,#D65DB1,Anaerobe
GB_GCA_020348925.1,#D65DB1,Anaerobe
GB_GCA_009694805.1,#D65DB1,Anaerobe
GB_GCA_002059205.1,#D65DB1,Anaerobe
GB_GCA_022706085.1,#D65DB1,Anaerobe
GB_GCA_023135015.1,#D65DB1,Anaerobe
GB_GCA_022614805.1,#D65DB1,Anaerobe
GB_GCA_000447245.1,#D65DB1,Anaerobe
GB_GCA_001302725.1,#D65DB1,Anaerobe
GB_GCA_020052115.1,#D65DB1,Anaerobe
GB_GCA_023132135.1,#D65DB1,Anaerobe
GB_GCA_018831195.1,#D65DB1,Anaerobe
